requested_scheme_code,requested_scheme_name,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date,nav,fetched_at_utc,source_url
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-22,105.985,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-19,105.9219,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-18,105.9003,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-17,105.8482,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-16,105.8455,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-15,105.8125,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-12,105.6864,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-11,105.5737,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-10,105.6569,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
119551,SBI Bluechip,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-09,105.5793,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/119551
